Gene stable ID	Protein stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene description
ENSG00000165406	ENSP00000396678	10	45454585	45594906	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]
ENSG00000165406	ENSP00000317087	10	45454585	45594906	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]
ENSG00000204179	ENSP00000363462	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000396009	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000379072	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000363466	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000379071	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000379077	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000423819	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000427676	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000421921	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000422839	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000420995	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000426355	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000425362	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000424283	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000477675	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000425012	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000480504	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000421453	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000425912	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000426681	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000422384	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000421404	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000479990	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000424491	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000363459	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179		10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000403444	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000379075	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000204179	ENSP00000363335	10	46911396	47002488	PTPN20	protein tyrosine phosphatase non-receptor type 20 [Source:HGNC Symbol;Acc:HGNC:23423]
ENSG00000156113	ENSP00000473714	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492806	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000490978	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492241	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492718	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492005	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492835	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491795	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000361520	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492492	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492559	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492414	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491673	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491927	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113		10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000361485	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491902	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492406	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491040	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000361498	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000361514	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491207	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000396608	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000361517	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000385717	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491123	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491008	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491156	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491981	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492793	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492510	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491435	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491723	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000361480	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491545	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000385806	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492178	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491463	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492224	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491539	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492075	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491555	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000402150	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000286627	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000346321	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000385552	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000286628	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491300	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492519	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491277	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491131	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491418	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491166	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492200	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492172	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491732	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000490982	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491920	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000485867	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492049	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492632	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491840	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492153	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491173	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000490881	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491045	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000388370	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492837	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491313	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492854	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492740	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492236	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000492283	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000491374	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000474686	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000482747	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000156113	ENSP00000475086	10	76869601	77638369	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]
ENSG00000107438	ENSP00000360305	10	95237572	95291012	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]
ENSG00000107438		10	95237572	95291012	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]
ENSG00000255410		11	6630504	6658396	AC091564.5	novel transcript
ENSG00000129084		11	14504874	14643635	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
ENSG00000129084	ENSP00000379676	11	14504874	14643635	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
ENSG00000129084	ENSP00000441166	11	14504874	14643635	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
ENSG00000129084	ENSP00000414359	11	14504874	14643635	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
ENSG00000129084	ENSP00000439724	11	14504874	14643635	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
ENSG00000129084	ENSP00000439080	11	14504874	14643635	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]
ENSG00000110427	ENSP00000499430	11	33376108	33674102	KIAA1549L	KIAA1549 like [Source:HGNC Symbol;Acc:HGNC:24836]
ENSG00000110427	ENSP00000433481	11	33376108	33674102	KIAA1549L	KIAA1549 like [Source:HGNC Symbol;Acc:HGNC:24836]
ENSG00000110427	ENSP00000265654	11	33376108	33674102	KIAA1549L	KIAA1549 like [Source:HGNC Symbol;Acc:HGNC:24836]
ENSG00000110427	ENSP00000315295	11	33376108	33674102	KIAA1549L	KIAA1549 like [Source:HGNC Symbol;Acc:HGNC:24836]
