id,cgid,Chromosome,Start,Strand,mean.Primary solid Tumor,mean.Recurrent Solid Tumor,mean.diff,mean.quot.log2,diffmeth.p.val,max.Primary solid Tumor,min.Primary solid Tumor,sd.Primary solid Tumor,max.Recurrent Solid Tumor,min.Recurrent Solid Tumor,sd.Recurrent Solid Tumor,min.diff,diffmeth.p.adj.fdr,combinedRank,num.na.Primary solid Tumor,num.na.Recurrent Solid Tumor,mean.covg.Primary solid Tumor,mean.covg.Recurrent Solid Tumor,min.covg.Primary solid Tumor,min.covg.Recurrent Solid Tumor,max.covg.Primary solid Tumor,max.covg.Recurrent Solid Tumor,nsamples.covg.thres5.Primary solid Tumor,nsamples.covg.thres5.Recurrent Solid Tumor
9875,cg13401911,chr1,20812335,-,0.058260496244544,0.0771301222014705,-0.0188696259569265,-0.352120663889383,2.32308103013887e-5,0.159427074074867,0.0267154726398073,0.0163059384028567,0.0935283793003952,0.0577082881147864,0.00891062171792602,0,0.004378348436678,204398,0,0,10.5495495495495,11.4615384615385,3,6,18,17,106,13
9879,cg00447682,chr1,20813064,-,0.0442997057945237,0.0595242484862115,-0.0152245426916877,-0.356571863749999,2.14506473095284e-5,0.083350626074414,0.026692947730721,0.0118353878033748,0.0723375490605636,0.0534039405679063,0.00610085394962754,0,0.00415379091369735,230930,0,0,12.9369369369369,13.0769230769231,3,6,23,20,110,13
9892,cg12497298,chr1,20834501,-,0.0508841826222867,0.0646594638031314,-0.0137752811808447,-0.294257674858737,7.02541181166564e-5,0.0693345784897111,0.0294608193083497,0.00971535874341678,0.0852255663584307,0.046578090849899,0.0115970591193969,0,0.00925945703785907,242720,0,0,14.2252252252252,14.8461538461538,5,9,30,24,111,13
10006,cg23841903,chr1,21058444,+,0.0207504902480311,0.0698731572652399,-0.0491226670172088,-1.37710133117457,1.41832288959222e-4,0.0402112876869199,0.0136173053230676,0.00459041539704977,0.620978544504635,0.0178473885248364,0.165616373060701,0,0.0144415651372328,81789,0,0,11.6936936936937,10.8461538461538,2,0,20,16,108,12
10008,cg03472655,chr1,21058966,+,0.0812515161618777,0.111254816328405,-0.0300033001665277,-0.410121618467765,6.33997671903671e-6,0.135464951903239,0.0421643228945571,0.0185314190145247,0.175273580078805,0.0782204055912328,0.0288620213086395,0,0.00179949340466949,144199,0,0,14.8828828828829,15.1538461538462,5,8,27,23,111,13
10170,cg07162257,chr1,21835692,+,0.0256304811090227,0.0458719124494165,-0.0202414313403938,-0.649011239462066,5.69830022298367e-5,0.0550654997462347,0.0154120537286567,0.00558837460759744,0.239231709215796,0.0256279550181285,0.0581528045608711,0,0.00802128122847418,195491,0,0,13.1441441441441,12.6153846153846,7,7,22,20,111,13
10385,cg16268051,chr1,22379390,-,0.0205073352666967,0.0277540807675285,-0.00724674550083182,-0.307476421151137,9.71048026513362e-7,0.047506361717735,0.01415097442928,0.00530181983998249,0.031787112766933,0.0194484612922692,0.00294767918626218,0,4.77460356233378e-4,311237,0,0,12.3783783783784,15.4615384615385,3,10,22,18,109,13
10426,cg21297673,chr1,22469723,-,0.0297128533606622,0.0382749847962636,-0.00856213143560146,-0.281669782873356,3.50976261556476e-5,0.0522914863720017,0.0186682658824924,0.00654573320957431,0.0539657446992093,0.030047757448878,0.0062283445579403,0,0.00578827760352654,294943,0,0,11.6486486486486,11.8461538461538,5,9,20,19,111,13
10474,cg09252805,chr1,22778600,+,0.030002426188673,0.0418460980844465,-0.0118436718957735,-0.374147912896082,6.29563787316563e-6,0.0549388185754193,0.0176608473714857,0.00851340116266781,0.0498719186433966,0.0376095915339201,0.00350495971697676,0,0.00179028435736045,260152,0,0,11.7927927927928,12.6923076923077,6,9,19,15,111,13
10503,cg00165619,chr1,22903087,+,0.88790324630911,0.923967466972594,-0.0360642206634834,-0.0568123016656715,7.92576808513824e-5,0.95645689888064,0.722137090139959,0.0376967389275712,0.953316824804533,0.852479010001735,0.0283680314436016,0,0.0100341057904453,235571,0,0,11.4054054054054,13.3846153846154,4,5,21,22,110,13
10661,cg26530045,chr1,23487055,-,0.896644847189706,0.932369111947441,-0.0357242647577353,-0.05575472679422,1.15744196821401e-4,0.958134749770487,0.754918774646957,0.0366603458903173,0.942329673637199,0.901824110030329,0.0106901172294089,0,0.012772432154847701,237904,0,0,11.8648648648649,12.5384615384615,6,6,24,19,111,13
10665,cg27054546,chr1,23495375,-,0.0341552402336216,0.0432528750152159,-0.00909763478159424,-0.27027475215563,8.13836511884219e-5,0.0841865935684884,0.0214311226673385,0.00784321815382932,0.0614353388571389,0.0285726582284135,0.00751486133722099,0,0.0101877076269752,288853,0,0,16.045045045045,16.9230769230769,6,8,27,24,111,13
10666,cg26567943,chr1,23495393,-,0.0361425484642161,0.047930782999333,-0.011788234535117,-0.3282324781581,6.88388452624046e-5,0.108666454479945,0.0199428933795558,0.0106086399323863,0.0712455697455745,0.0320890926129886,0.0105955174214223,0,0.00915381577936789,260712,0,0,10.7657657657658,11.7692307692308,1,4,19,16,109,12
11013,cg10881359,chr1,24286675,-,0.0525912809204734,0.068065912771623,-0.0154746318511496,-0.318731036629816,8.75531711201096e-5,0.0838938737303938,0.0344253720278974,0.0114598386097703,0.0978335640255338,0.0473575434163961,0.0156749574382086,0,0.010671278247794,228986,0,0,12.5855855855856,10.7692307692308,1,6,26,21,109,13
11203,cg18136681,chr1,24969531,-,0.0297374154615869,0.0483238555272999,-0.018586440065713,-0.553588050746559,1.28582270827309e-9,0.0643279519693949,0.0169216503275126,0.00883786922286477,0.0630280890179059,0.0337972783842583,0.00767510034818537,0,3.54054418875943e-6,206318,0,0,9.94594594594595,10.3076923076923,4,4,17,16,110,12
11231,cg23713813,chr1,25071889,-,0.0218255523401708,0.0319295609001918,-0.0101040085600209,-0.397782169232436,5.68808919918154e-7,0.0495466513831625,0.0129149535314135,0.00630410468066021,0.051739698350097,0.0228332088998062,0.00752822758514645,0,3.17113079554074e-4,277626,0,0,13.9369369369369,15.2307692307692,7,11,24,20,111,13
11232,cg02944245,chr1,25071916,-,0.0255258212178895,0.0307251333892944,-0.00519931217140488,-0.197051424783673,8.62081174162297e-5,0.036183807850434,0.0164169085024991,0.003895169294367,0.0366564815517412,0.0230749974597648,0.00372259347109809,0,0.0105529111538591,340786,0,0,11.4054054054054,10.3846153846154,2,3,19,14,107,12
11233,cg03536861,chr1,25071933,-,0.0247873424762662,0.0345196250923808,-0.00973228261611466,-0.355878972768638,1.58923602198274e-6,0.061430023035848,0.0164862136835858,0.00653907201512687,0.0597029126925266,0.0280579319182325,0.00793471986607189,0,6.83489546985639e-4,281737,0,0,11.8738738738739,10.7692307692308,4,5,19,15,109,13
